case_id,ability_category,Case name,description,difficulty,Synthesize guidance,domain,domains_multi,factor_A1,factor_A2,factor_B1,factor_B2,status
1,skill evolution,skill-creation,识别交互历史中的模式，从头创建SKILL,M,评价agent识别交互历史中的模式，从��创建SKILL的能力（从示例到规则，从头归纳）,Documents & Knowledge,Documents & Knowledge ; Coding & Software Dev,0,0,0,1,implemented
2,skill evolution,skill-supplementation,根据交互历史，补充更新现有SKILL,M,评价agent结合已有SKILL与交互历史，更新自身技能的能力（自我迭代已有知识）,Documents & Knowledge,Documents & Knowledge ; Coding & Software Dev,0,0,0,1,implemented
3,skill evolution,skill-conflict-resolution,根据交互历史，更新现有SKILL：识别冲突内容、识别旧版本SKILL中可能��在的误导性内容，并加以更新,E,评价agent结合已有SKILL与交互历史，更新自身技能的能力（自我迭代已有知识）,Documents & Knowledge,Documents & Knowledge ; Coding & Software Dev,0,0,0,1,implemented
4,skill evolution,skill-repository-curation,整理现有SKILL库，合并冗余、去除失效SKILL,M,评价agent管理已有SKILL的能力（对于SKILL系统的meta认知）,Documents & Knowledge,Documents & Knowledge ; Coding & Software Dev,0,0,0,1,implemented
5,skill evolution,skill-dependency-fix,用户指令底层skill修改后，能否准确识别上层skill对于底层skill的调用关系，并理顺上层skill对底层skill的调用,E,评价模型理解存在较复杂嵌套结构SKILL，并加以更新的能力,Documents & Knowledge,Documents & Knowledge ; Coding & Software Dev,0,0,0,1,implemented
6,proactive decision making,email-writing,让OpenClaw帮助用户给指定收件人编辑并发送邮件,E,评价agent在单一邮件环境中完成明确写作与发送任务的能力，重点考察基础执行、表单填写与结果可验证性,Communication & Email,Communication & Email,0,0,0,0,implemented
7,proactive decision making,email-reply,让OpenClaw检查是否存在期望邮件，如果存在则编辑并发送回信,E,评价agent在邮件环境中���行信息检索、条件判断与回信执行的能力，重点考察读写闭环与状态判断,Communication & Email,Communication & Email,0,0,0,0,implemented
8,proactive decision making,flight-booking,让OpenClaw帮助用户预定指定日期和起始点的机票,M,评价agent在航司环境中完成单环境订票任务的能力，重点考察检索、筛选与预定执行,E-commerce & Daily Svcs,E-commerce & Daily Svcs,0,0,0,0,implemented
9,cross environment composition,flight-seat-selection,让OpenClaw帮助用户完成指定预定航班的值机选座，需要首先从邮件中找到预定航班的信息，并在航司网站按照用户要求进行选座,E,评价agent跨邮件与航司环境完成信息提取和选座执行的能力，重点考察cross environment composition,E-commerce & Daily Svcs,E-commerce & Daily Svcs ; Communication & Email,1,0,0,0,implemented
10,proactive decision making,flight-seat-selection-failed,让OpenClaw帮助用户完成指定预定航班的值机选座，需要首先从邮件中找到预定航班的信息，并在航司网站按照用户要求进行选座；当用户选座要求无法被满足时，期望OpenClaw找到最佳替代方案,H,评价agent在跨环境任务中处理约束失败并提出替代方案的能力，重点考察proactive decision making与鲁棒执行,E-commerce & Daily Svcs,E-commerce & Daily Svcs ; Communication & Email,1,0,1,0,implemented
11,proactive decision making,flight-cancel-claim,让OpenClaw检查预定航班的状态是否正常；如果出现被取消的情况，需要帮助用户按照航司网站上的公告申请理赔,H,评价agent在邮件与航司环境中发现异常、理解公告并完成后续理赔流程的能力，重点考察主动检查与多步执行,E-commerce & Daily Svcs,E-commerce & Daily Svcs ; Communication & Email,1,0,1,0,implemented
12,cross environment composition,flight-info-change-notice,让OpenClaw检查邮箱，是否有关于航司发来的预定航班状态变化的通知；如有，则需要检查日程应用中是否存在受到影响的计划，并能够提醒同程伙伴,E,评价agent在Email、Airline与Calendar三环境中联动处理航班变更的能力，重点考察cross environment composition与proactive decision making,Calendar & Task Mgmt,Calendar & Task Mgmt ; Communication & Email ; E-commerce & Daily Svcs,1,0,1,0,implemented
13,proactive decision making,baggage-tracking-application,让OpenClaw在航司网站上找寻方法，可以向航司登记自己丢失的行李,E,评价agent在航司环境中自主探索页面、定位正确流程并完成行李登记的能力，重点考察中长链路执行与可验证性,E-commerce & Daily Svcs,E-commerce & Daily Svcs,0,0,1,0,implemented
14,cross environment composition,schedule-change-request,用户因事导致日程发生变化，因此需要OpenClaw帮助用户找出Calendar上存在冲突的日程，并向相关人员写邮件告知日程变化并解释原因,M,评价agent跨Calendar与Email完成冲突识别、对象定位和通知沟通的能力，重点考察cross environment composition与主动协调,Calendar & Task Mgmt,Calendar & Task Mgmt ; Communication & Email,1,0,0,0,implemented
15,cross environment composition,blog-site-from-scratch,从零搭建博客网站：指定 Astro 做前端、Node.js 做后端、SQLite 数据库；支持普通用户、编辑、管理员三种角色；支持发帖、关键词搜索、Markdown 渲染、邮箱注册登录、个人 dashboard 查看自己的 post；编辑可删帖，管理员可任命编辑，所有界面支持相互跳转。,E,基于完整博客网站仓库合成测试样例，再删除全部代码构造从零开发任务；评价 agent 在指定技术栈下进行全栈系统设计、实现、联调与角色权限管理的能力。,Coding & Software Dev,Coding & Software Dev,0,0,0,0,implemented
16,reflective diagnosis,blog-site-completion-from-starter,从一个博客代码库雏形出发，实现完整博客功能：指定 Astro 前端、Node.js 后端、SQLite 数据库，并补齐用户、编辑、管理员角色权限、搜索、Markdown 渲染等功能。,E,基于完整博客网站仓库合成测试样例，删除部分代码并注入 bug 构造修复+补全任务；评价 agent 在已有代码基础上进行诊断、修复与功能补全的能力。,Coding & Software Dev,Coding & Software Dev,0,1,0,0,implemented
17,proactive decision making,washer-shop,我希望从 Mosi Shop 上买个洗衣机，评分达到 4.6 且是 portable。,E,基于 shop mock 环境构造单环境、少步数购物任务；评价 agent 根据结构化约束进行检索、筛选并完成下单的能力。,E-commerce & Daily Svcs,E-commerce & Daily Svcs,0,0,0,0,implemented
